EPCI;EPCI_EPT;EPCI_EPTinc;EPCIlibFull;EPCIlibFullNCC;EPCIlibShort;EPCIlibShortNCC;TYPE_EPCI;TYPE_EPCIlib;METRoff;DENSEPCI;DENSEPCIlib;REG_dom;DEP_dom;DEPshort_dom;regdep
247103864;247103864;0;Communauté de communes de Semur-en-Brionnais;COMMUNAUTE DE COMMUNES DE SEMUR EN BRIONNAIS;CC de Semur-en-Brionnais;CC DE SEMUR-EN-BRIONNAIS;CC;Communauté de communes;0;3;Rural;27;71;71-SeL;BFC/71-SeL
247104094;247104094;0;Communauté de communes Sud Côte Chalonnaise;COMMUNAUTE DE COMMUNES SUD COTE CHALONNAISE;CC Sud Côte Chalonnaise;CC SUD COTE CHALONNAISE;CC;Communauté de communes;0;3;Rural;27;71;71-SeL;BFC/71-SeL
247200090;247200090;0;Communauté de communes du Pays Sabolien;COMMUNAUTE DE COMMUNES DU PAYS SABOLIEN;CC du Pays Sabolien;CC DU PAYS SABOLIEN;CC;Communauté de communes;0;3;Rural;52;72;72-Sar;PDL/72-Sar
247200132;247200132;0;Communauté urbaine Le Mans Métropole;COMMUNAUTE URBAINE LE MANS METROPOLE;CU Le Mans Métropole;CU LE MANS METROPOLE;CU;Communauté urbaine;0;1;Urbain dense;52;72;72-Sar;PDL/72-Sar
247200348;247200348;0;Communauté de communes du Pays Fléchois;COMMUNAUTE DE COMMUNES DU PAYS FLECHOIS;CC du Pays Fléchois;CC DU PAYS FLECHOIS;CC;Communauté de communes;0;3;Rural;52;72;72-Sar;PDL/72-Sar
247200421;247200421;0;Communauté de communes du Sud Est Manceau;COMMUNAUTE DE COMMUNES DU SUD EST MANCEAU;CC du Sud Est Manceau;CC DU SUD EST MANCEAU;CC;Communauté de communes;0;3;Rural;52;72;72-Sar;PDL/72-Sar
247200447;247200447;0;Communauté de communes Orée de Bercé - Belinois;COMMUNAUTE DE COMMUNES OREE DE BERCE BELINOIS;CC Orée de Bercé - Belinois;CC OREE DE BERCE - BELINOIS;CC;Communauté de communes;0;3;Rural;52;72;72-Sar;PDL/72-Sar
247200629;247200629;0;Communauté de communes du Val de Sarthe;COMMUNAUTE DE COMMUNES DU VAL DE SARTHE;CC du Val de Sarthe;CC DU VAL DE SARTHE;CC;Communauté de communes;0;3;Rural;52;72;72-Sar;PDL/72-Sar
247200686;247200686;0;Communauté de communes du Pays de l'Huisne Sarthoise;COMMUNAUTE DE COMMUNES DU PAYS DE L HUISNE SARTHOISE;CC du Pays de l'Huisne Sarthoise;CC DU PAYS DE L'HUISNE SARTHOISE;CC;Communauté de communes;0;3;Rural;52;72;72-Sar;PDL/72-Sar
247300015;247300015;0;Communauté de communes des Vallées d'Aigueblanche;COMMUNAUTE DE COMMUNES DES VALLEES D AIGUEBLANCHE;CC des Vallées d'Aigueblanche;CC DES VALLEES D'AIGUEBLANCHE;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300254;247300254;0;Communauté de communes de Haute-Tarentaise;COMMUNAUTE DE COMMUNES DE HAUTE TARENTAISE;CC de Haute-Tarentaise;CC DE HAUTE-TARENTAISE;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300262;247300262;0;Communauté de communes de Yenne;COMMUNAUTE DE COMMUNES DE YENNE;CC de Yenne;CC DE YENNE;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300361;247300361;0;Communauté de communes du Canton de La Chambre;COMMUNAUTE DE COMMUNES DU CANTON DE LA CHAMBRE;CC du Canton de La Chambre;CC DU CANTON DE LA CHAMBRE;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300452;247300452;0;Communauté de communes Maurienne Galibier;COMMUNAUTE DE COMMUNES MAURIENNE GALIBIER;CC Maurienne Galibier;CC MAURIENNE GALIBIER;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300528;247300528;0;Communauté de communes Val Guiers;COMMUNAUTE DE COMMUNES VAL GUIERS;CC Val Guiers;CC VAL GUIERS;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300668;247300668;0;Communauté de communes du Lac d'Aiguebelette (CCLA);COMMUNAUTE DE COMMUNES DU LAC D AIGUEBELETTE (CCLA);CC du Lac d'Aiguebelette (CCLA);CC DU LAC D'AIGUEBELETTE (CCLA);CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300676;247300676;0;Communauté de communes Porte de Maurienne;COMMUNAUTE DE COMMUNES PORTE DE MAURIENNE;CC Porte de Maurienne;CC PORTE DE MAURIENNE;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247300817;247300817;0;Communauté de communes Les Versants d'Aime;COMMUNAUTE DE COMMUNES LES VERSANTS D AIME;CC Les Versants d'Aime;CC LES VERSANTS D'AIME;CC;Communauté de communes;0;3;Rural;84;73;73-Sav;ARA/73-Sav
247400047;247400047;0;Communauté de communes de la Vallée Verte;COMMUNAUTE DE COMMUNES DE LA VALLEE VERTE;CC de la Vallée Verte;CC DE LA VALLEE VERTE;CC;Communauté de communes;0;3;Rural;84;74;74-HSv;ARA/74-HSv
247400112;247400112;0;Communauté de communes du Pays de Cruseilles;COMMUNAUTE DE COMMUNES DU PAYS DE CRUSEILLES;CC du Pays de Cruseilles;CC DU PAYS DE CRUSEILLES;CC;Communauté de communes;0;3;Rural;84;74;74-HSv;ARA/74-HSv
247400567;247400567;0;Communauté de communes Fier et Usses;COMMUNAUTE DE COMMUNES FIER ET USSES;CC Fier et Usses;CC FIER ET USSES;CC;Communauté de communes;0;2;Urbain intermédiaire;84;74;74-HSv;ARA/74-HSv
247400583;247400583;0;Communauté de communes Arve et Salève;COMMUNAUTE DE COMMUNES ARVE ET SALEVE;CC Arve et Salève;CC ARVE ET SALEVE;CC;Communauté de communes;0;3;Rural;84;74;74-HSv;ARA/74-HSv
