"ZE2020";"ZE2020lib";"NB_COM";"ZE2020libNCC";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"3208";"Cambrai";111;"CAMBRAI";2;"32";"59";"59-Nor";"HDF/59-Nor"
"3209";"Château-Thierry";119;"CHATEAU THIERRY";3;"32";"02";"02-Ais";"HDF/02-Ais"
"3210";"Compiègne";181;"COMPIEGNE";2;"32";"60";"60-Ois";"HDF/60-Ois"
"3211";"Creil";134;"CREIL";2;"32";"60";"60-Ois";"HDF/60-Ois"
"3212";"Douai";71;"DOUAI";2;"32";"59";"59-Nor";"HDF/59-Nor"
"3213";"Dunkerque";75;"DUNKERQUE";2;"32";"59";"59-Nor";"HDF/59-Nor"
"3214";"Laon";225;"LAON";3;"32";"02";"02-Ais";"HDF/02-Ais"
"3215";"Lens";58;"LENS";2;"32";"62";"62-PdC";"HDF/62-PdC"
"3216";"Lille";133;"LILLE";1;"32";"59";"59-Nor";"HDF/59-Nor"
"3217";"Maubeuge";199;"MAUBEUGE";2;"32";"59";"59-Nor";"HDF/59-Nor"
"3218";"Roubaix-Tourcoing";22;"ROUBAIX TOURCOING";1;"32";"59";"59-Nor";"HDF/59-Nor"
"3219";"Saint-Omer";126;"SAINT OMER";3;"32";"62";"62-PdC";"HDF/62-PdC"
"3220";"Saint-Quentin";326;"SAINT QUENTIN";3;"32";"02";"02-Ais";"HDF/02-Ais"
"3221";"Soissons";232;"SOISSONS";3;"32";"02";"02-Ais";"HDF/02-Ais"
"3222";"Valenciennes";125;"VALENCIENNES";2;"32";"59";"59-Nor";"HDF/59-Nor"
"4401";"Bar-le-Duc";154;"BAR LE DUC";3;"44";"55";"55-Meu";"GES/55-Meu"
"4402";"Châlons-en-Champagne";151;"CHALONS EN CHAMPAGNE";2;"44";"51";"51-Mar";"GES/51-Mar"
"4403";"Charleville-Mézières";180;"CHARLEVILLE MEZIERES";2;"44";"08";"08-Ard";"GES/08-Ard"
"4404";"Chaumont";369;"CHAUMONT";3;"44";"52";"52-HMa";"GES/52-HMa"
"4405";"Colmar";100;"COLMAR";2;"44";"68";"68-HRh";"GES/68-HRh"
"4406";"Épernay";113;"EPERNAY";3;"44";"51";"51-Mar";"GES/51-Mar"
"4407";"Épinal";328;"EPINAL";3;"44";"88";"88-Vos";"GES/88-Vos"
"4408";"Forbach";30;"FORBACH";2;"44";"57";"57-Mos";"GES/57-Mos"
"4409";"Haguenau";164;"HAGUENAU";3;"44";"67";"67-BRh";"GES/67-BRh"
"4410";"Metz";246;"METZ";2;"44";"57";"57-Mos";"GES/57-Mos"
"4411";"Mulhouse";170;"MULHOUSE";2;"44";"68";"68-HRh";"GES/68-HRh"
"4412";"Nancy";445;"NANCY";2;"44";"54";"54-MeM";"GES/54-MeM"
"4413";"Reims";225;"REIMS";1;"44";"51";"51-Mar";"GES/51-Mar"
"4414";"Remiremont";49;"REMIREMONT";3;"44";"88";"88-Vos";"GES/88-Vos"
"4415";"Romilly-sur-Seine";170;"ROMILLY SUR SEINE";3;"44";"51";"51-Mar";"GES/51-Mar"
"4416";"Saint-Avold";131;"SAINT AVOLD";3;"44";"57";"57-Mos";"GES/57-Mos"
"4417";"Saint-Dié-des-Vosges";110;"SAINT DIE DES VOSGES";3;"44";"88";"88-Vos";"GES/88-Vos"
"4418";"Saint-Louis";91;"SAINT LOUIS";2;"44";"68";"68-HRh";"GES/68-HRh"
"4419";"Sarrebourg";215;"SARREBOURG";3;"44";"57";"57-Mos";"GES/57-Mos"
"4420";"Sarreguemines";141;"SARREGUEMINES";3;"44";"57";"57-Mos";"GES/57-Mos"
"4421";"Sedan";245;"SEDAN";3;"44";"08";"08-Ard";"GES/08-Ard"
"4422";"Sélestat";72;"SELESTAT";3;"44";"67";"67-BRh";"GES/67-BRh"
"4423";"Strasbourg";213;"STRASBOURG";1;"44";"67";"67-BRh";"GES/67-BRh"
"4424";"Thionville";190;"THIONVILLE";2;"44";"57";"57-Mos";"GES/57-Mos"
"4425";"Troyes";358;"TROYES";2;"44";"10";"10-Aub";"GES/10-Aub"
"4426";"Verdun";231;"VERDUN";3;"44";"55";"55-Meu";"GES/55-Meu"
"4427";"Vitry-le-François Saint-Dizier";224;"VITRY LE FRANCOIS SAINT DIZIER";3;"44";"51";"51-Mar";"GES/51-Mar"
"5201";"Ancenis";23;"ANCENIS";3;"52";"44";"44-LoA";"PDL/44-LoA"
"5202";"Angers";67;"ANGERS";2;"52";"49";"49-MeL";"PDL/49-MeL"
"5203";"Challans";42;"CHALLANS";3;"52";"85";"85-Ven";"PDL/85-Ven"
"5204";"Château-Gontier-sur-Mayenne";32;"CHATEAU GONTIER SUR MAYENNE";3;"52";"53";"53-May";"PDL/53-May"
"5205";"Châteaubriant";32;"CHATEAUBRIANT";3;"52";"44";"44-LoA";"PDL/44-LoA"
"5206";"Cholet";35;"CHOLET";3;"52";"49";"49-MeL";"PDL/49-MeL"
"5207";"Fontenay-le-Comte";98;"FONTENAY LE COMTE";3;"52";"85";"85-Ven";"PDL/85-Ven"
"5208";"La Ferté-Bernard";80;"LA FERTE BERNARD";3;"52";"72";"72-Sar";"PDL/72-Sar"
"5209";"La Flèche";28;"LA FLECHE";3;"52";"72";"72-Sar";"PDL/72-Sar"
"5210";"La Roche-sur-Yon";45;"LA ROCHE SUR YON";3;"52";"85";"85-Ven";"PDL/85-Ven"
"5211";"Laval";85;"LAVAL";3;"52";"53";"53-May";"PDL/53-May"
"5212";"Le Mans";148;"LE MANS";2;"52";"72";"72-Sar";"PDL/72-Sar"
"5213";"Les Herbiers-Montaigu";49;"LES HERBIERS MONTAIGU";3;"52";"85";"85-Ven";"PDL/85-Ven"
"5214";"Les Sables-d'Olonne";18;"LES SABLES D OLONNE";3;"52";"85";"85-Ven";"PDL/85-Ven"
"5215";"Mayenne";92;"MAYENNE";3;"52";"53";"53-May";"PDL/53-May"
"5216";"Nantes";95;"NANTES";2;"52";"44";"44-LoA";"PDL/44-LoA"
"5217";"Pornic";16;"PORNIC";3;"52";"44";"44-LoA";"PDL/44-LoA"
"5218";"Sablé-sur-Sarthe";52;"SABLE SUR SARTHE";3;"52";"72";"72-Sar";"PDL/72-Sar"
"5219";"Saint-Nazaire";37;"SAINT NAZAIRE";2;"52";"44";"44-LoA";"PDL/44-LoA"
"5220";"Saumur";45;"SAUMUR";3;"52";"49";"49-MeL";"PDL/49-MeL"
"5221";"Segré-en-Anjou Bleu";30;"SEGRE EN ANJOU BLEU";3;"52";"49";"49-MeL";"PDL/49-MeL"
"5301";"Auray";28;"AURAY";3;"53";"56";"56-Mor";"BRE/56-Mor"
"5302";"Brest";92;"BREST";2;"53";"29";"29-Fin";"BRE/29-Fin"
"5303";"Carhaix-Plouguer";81;"CARHAIX PLOUGUER";3;"53";"22";"22-CdA";"BRE/22-CdA"
"5304";"Dinan";66;"DINAN";3;"53";"22";"22-CdA";"BRE/22-CdA"
"5305";"Fougères";45;"FOUGERES";3;"53";"35";"35-IeV";"BRE/35-IeV"
"5306";"Guingamp";49;"GUINGAMP";3;"53";"22";"22-CdA";"BRE/22-CdA"
"5307";"Lamballe-Armor";40;"LAMBALLE ARMOR";3;"53";"22";"22-CdA";"BRE/22-CdA"
"5308";"Lannion";65;"LANNION";3;"53";"22";"22-CdA";"BRE/22-CdA"
"5309";"Lorient";35;"LORIENT";2;"53";"56";"56-Mor";"BRE/56-Mor"
"5310";"Morlaix";59;"MORLAIX";3;"53";"29";"29-Fin";"BRE/29-Fin"
"5311";"Ploërmel";53;"PLOERMEL";3;"53";"56";"56-Mor";"BRE/56-Mor"
"5312";"Pontivy-Loudéac";64;"PONTIVY LOUDEAC";3;"53";"56";"56-Mor";"BRE/56-Mor"
"5313";"Quimper";83;"QUIMPER";3;"53";"29";"29-Fin";"BRE/29-Fin"
"5314";"Quimperlé";18;"QUIMPERLE";3;"53";"29";"29-Fin";"BRE/29-Fin"
"5315";"Rennes";160;"RENNES";2;"53";"35";"35-IeV";"BRE/35-IeV"
"5316";"Saint-Brieuc";58;"SAINT BRIEUC";3;"53";"22";"22-CdA";"BRE/22-CdA"
"5317";"Saint-Malo";54;"SAINT MALO";3;"53";"35";"35-IeV";"BRE/35-IeV"
"5318";"Vannes";60;"VANNES";3;"53";"56";"56-Mor";"BRE/56-Mor"
"5319";"Vitré";56;"VITRE";3;"53";"35";"35-IeV";"BRE/35-IeV"
"7501";"Agen";99;"AGEN";3;"75";"47";"47-LeG";"NAQ/47-LeG"
"7502";"Angoulême";229;"ANGOULEME";3;"75";"16";"16-Cha";"NAQ/16-Cha"
"7503";"Bayonne";111;"BAYONNE";2;"75";"64";"64-PyA";"NAQ/64-PyA"
"7504";"Bergerac";153;"BERGERAC";3;"75";"24";"24-Dor";"NAQ/24-Dor"
"7505";"Bordeaux";164;"BORDEAUX";1;"75";"33";"33-Gir";"NAQ/33-Gir"
"7506";"Bressuire";80;"BRESSUIRE";3;"75";"79";"79-DSè";"NAQ/79-DSè"
"7507";"Brive-la-Gaillarde";98;"BRIVE LA GAILLARDE";3;"75";"19";"19-Cor";"NAQ/19-Cor"
"7508";"Châtellerault";50;"CHATELLERAULT";3;"75";"86";"86-Vie";"NAQ/86-Vie"
